config_id,component_id,n_nodes,n_members_unique,n_edges_internal,beta_1_component,mean_node_size,mean_imputation_fraction,physically_derived_fraction,dominant_radius_class,dominant_orbit_class,dominant_thermal_class,dominant_candidate_population,median_pl_rade,median_pl_bmasse,median_pl_orbper,median_pl_eqt,example_nodes,example_pl_names,interpretation_text,caution_level
orbital_pca2_cubes10_overlap0p35,0,62,5512,127,66,171.98387096774192,0.0051163382905944155,0.020348449738643484,jovian_size,long_period,warm,warm_or_cool_giant_candidate,2.83,8.995000000000001,11.533099499999999,782.0,"cube0_cluster0, cube1_cluster1, cube2_cluster0, cube2_cluster1, cube5_cluster0","11 Com b, 11 UMi b, 14 And b, 14 Her b, 16 Cyg B b",Connected component with 62 nodes and beta_1_component=66. Dominant heuristic population: warm_or_cool_giant_candidate.,low
orbital_pca2_cubes10_overlap0p35,1,12,113,26,15,23.666666666666668,0.0,0.0808080808080808,rocky_size,short_period,very_hot,super_earth_candidate,1.42,2.6700000000000004,0.8683865280000002,1681.0,"cube0_cluster1, cube0_cluster2, cube0_cluster3, cube1_cluster0, cube1_cluster5","55 Cnc e, CoRoT-7 b, EPIC 201427007 b, EPIC 201595106 b, EPIC 206024342 c",Connected component with 12 nodes and beta_1_component=15. Dominant heuristic population: super_earth_candidate.,low
orbital_pca2_cubes10_overlap0p35,2,2,17,1,0,14.5,0.0,0.07107843137254902,rocky_size,short_period,very_hot,super_earth_candidate,1.4968158300000003,2.55,0.5688744270000001,1796.0,"cube1_cluster2, cube6_cluster2","EPIC 212624936 b, EPIC 220674823 b, K2-210 b, K2-223 b, K2-229 b",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: super_earth_candidate.,low
orbital_pca2_cubes10_overlap0p35,3,1,5,0,0,5.0,0.0,0.0,sub_neptune_size,short_period,very_hot,sub_neptune_candidate,1.62,3.26,0.3652575000000001,2223.0,cube1_cluster3,"K2-131 b, K2-157 b, K2-22 b, Kepler-78 b, TOI-2260 b",Connected component with 1 nodes and beta_1_component=0. Dominant heuristic population: sub_neptune_candidate.,low
orbital_pca2_cubes10_overlap0p35,4,2,4,1,0,4.0,0.0,0.0,rocky_size,short_period,hot,super_earth_candidate,1.3764300299999999,2.475,0.9451247489999999,1096.0,"cube1_cluster4, cube6_cluster3","K2-147 b, Kepler-1351 b, Kepler-787 b, TOI-1634 b",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: super_earth_candidate.,low
orbital_pca2_cubes10_overlap0p35,5,2,7,1,0,7.0,0.0,0.07142857142857142,rocky_size,short_period,warm,super_earth_candidate,1.36,2.47,2.2890899999999994,550.0,"cube2_cluster2, cube7_cluster5","G 264-012 b, K2-28 b, K2-384 b, L 98-59 b, TOI-2266 b",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: super_earth_candidate.,low
orbital_pca2_cubes10_overlap0p35,6,2,6,1,0,6.0,0.0,0.0,rocky_size,short_period,warm,rocky_candidate,1.236,7.450000000000001,3.9796241,406.2,"cube7_cluster1, cube8_cluster0","Barnard c, GJ 1265 b, K2-415 b, LHS 1140 c, TOI-1080 b",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: rocky_candidate.,low
orbital_pca2_cubes10_overlap0p35,7,2,6,1,0,6.0,0.0,0.08333333333333333,sub_neptune_size,intermediate_period,cool,sub_neptune_candidate,1.96,4.545,18.160850000000003,282.0,"cube7_cluster2, cube13_cluster4","GJ 180 b, GJ 273 b, K2-332 b, K2-9 b, Kepler-560 b",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: sub_neptune_candidate.,low
orbital_pca2_cubes10_overlap0p35,8,1,4,0,0,4.0,0.0,0.0,rocky_size,short_period,warm,super_earth_candidate,1.5699999999999998,3.9849999999999994,2.6304175000000005,551.0,cube7_cluster3,"GJ 3929 b, K2-146 b, TOI-5388.01, TOI-7149 b",Connected component with 1 nodes and beta_1_component=0. Dominant heuristic population: super_earth_candidate.,low
orbital_pca2_cubes10_overlap0p35,9,2,4,1,0,4.0,0.0,0.0,sub_neptune_size,short_period,warm,sub_neptune_candidate,1.439,1.595,7.518997499999999,399.2759138682393,"cube7_cluster7, cube13_cluster9","GJ 667 C b, K2-72 d, L 98-59 d, TOI-4336 A c",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: sub_neptune_candidate.,low
