config_id,node_id,highlight_reason,n_members,degree,component_id,mean_imputation_fraction,physically_derived_fraction,candidate_population_top,radius_class_top,orbit_class_top,thermal_class_top,mean_pl_rade,mean_pl_bmasse,mean_pl_dens,mean_pl_orbper,mean_pl_orbsmax,mean_pl_insol,mean_pl_eqt,example_pl_names,interpretation_text,caution_text
thermal_pca2_cubes10_overlap0p35,cube12_cluster2,central_node;cycle_component_node;risky_node,22,3,4,0.5227272727272727,0.0,warm_or_cool_giant_candidate,jovian_size,long_period,cool,10.578681363636365,1045.5147311168182,3.935761216816201,3003.689824123427,3.5835040909090923,0.17144143122781483,159.14747809984485,"[""EPIC 248847494 b"", ""GJ 1289 b"", ""HAT-P-11 c"", ""HATS-59 c"", ""HD 102843 b""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,High imputation dependence reduces confidence in fine-grained scientific interpretation.
thermal_pca2_cubes10_overlap0p35,cube26_cluster4,central_node;cycle_component_node;risky_node,19,3,4,0.5789473684210527,0.0,warm_or_cool_giant_candidate,jovian_size,intermediate_period,hot,9.123835283157893,246.4416289,1.5367115028606113,16.432352935770968,0.12325576115985122,68.8113206394197,971.7243962696848,"[""24 Boo b"", ""HAT-P-20 b"", ""HD 102117 b"", ""HD 107148 c"", ""HD 117618 b""]","Thermally extreme node, but interpretation is weakened by high imputation dependence.",High imputation dependence reduces confidence in fine-grained scientific interpretation.
thermal_pca2_cubes10_overlap0p35,cube33_cluster5,central_node;cycle_component_node;risky_node,19,3,4,0.5789473684210527,0.0,warm_or_cool_giant_candidate,jovian_size,intermediate_period,hot,9.123835283157893,246.4416289,1.5367115028606113,16.432352935770968,0.12325576115985122,68.8113206394197,971.7243962696848,"[""24 Boo b"", ""HAT-P-20 b"", ""HD 102117 b"", ""HD 107148 c"", ""HD 117618 b""]","Thermally extreme node, but interpretation is weakened by high imputation dependence.",High imputation dependence reduces confidence in fine-grained scientific interpretation.
thermal_pca2_cubes10_overlap0p35,cube46_cluster0,central_node;cycle_component_node;reliable_node,19,3,4,0.0,0.0,hot_jupiter_candidate,jovian_size,short_period,very_hot,12.387159927368419,416.60050551315794,2.6847518771710996,1.788759057631579,0.029901052631578922,3110.6549526315794,2086.8673684210526,"[""EPIC 201595106 b"", ""HAT-P-23 b"", ""HATS-18 b"", ""HATS-35 b"", ""HATS-40 b""]","Node enriched in short-period large-radius planets, compatible with a hot-Jupiter-like region.",Low-to-moderate caution: interpretation is comparatively stable within this run.
thermal_pca2_cubes10_overlap0p35,cube39_cluster0,central_node;cycle_component_node;reliable_node,16,3,4,0.0,0.0,hot_jupiter_candidate,jovian_size,short_period,very_hot,13.611362413749998,454.311644046875,2.372942628916892,1.926345715,0.031698749999999984,3034.2673812500007,2075.5299999999997,"[""EPIC 201595106 b"", ""HAT-P-23 b"", ""HATS-18 b"", ""HATS-35 b"", ""HATS-40 b""]","Node enriched in short-period large-radius planets, compatible with a hot-Jupiter-like region.",Low-to-moderate caution: interpretation is comparatively stable within this run.
thermal_pca2_cubes10_overlap0p35,cube12_cluster7,central_node;cycle_component_node;extreme_large_radius;extreme_mass;extreme_orbital_period;risky_node,15,3,2,0.9333333333333333,0.0,warm_or_cool_giant_candidate,jovian_size,long_period,cool,16.85614,3023.715118644,8.17123185030796,23741.86870838394,16.081000000000003,0.05375158197560996,117.06475575498558,"[""HD 100546 b"", ""HD 11112 b"", ""HD 11506 d"", ""HD 115954 b"", ""HD 149806 b""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,High imputation dependence reduces confidence in fine-grained scientific interpretation.
thermal_pca2_cubes10_overlap0p35,cube18_cluster7,central_node;cycle_component_node;extreme_large_radius;extreme_mass;extreme_orbital_period;risky_node,15,3,2,0.9333333333333333,0.0,warm_or_cool_giant_candidate,jovian_size,long_period,cool,16.85614,3023.715118644,8.17123185030796,23741.86870838394,16.081000000000003,0.05375158197560996,117.06475575498558,"[""HD 100546 b"", ""HD 11112 b"", ""HD 11506 d"", ""HD 115954 b"", ""HD 149806 b""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,High imputation dependence reduces confidence in fine-grained scientific interpretation.
thermal_pca2_cubes10_overlap0p35,cube33_cluster4,risky_node,15,1,4,0.4,0.0,unknown_mixed,neptune_or_sub_jovian_size,intermediate_period,hot,4.902745184,142.48765074333332,2.7067572010947107,13.125698983866666,0.10989955042680323,121.40332461487868,1033.1810873979869,"[""CoRoT-6 b"", ""HD 156098 b"", ""HD 16417 b"", ""HD 28192 b"", ""HD 74698 b""]","Thermally extreme node, but interpretation is weakened by high imputation dependence.",High imputation dependence reduces confidence in fine-grained scientific interpretation.
thermal_pca2_cubes10_overlap0p35,cube26_cluster7,risky_node,14,1,21,1.0,0.0,warm_or_cool_giant_candidate,jovian_size,intermediate_period,hot,12.664927192857144,2301.327796597857,6.604976593936134,157.69984658347104,0.6231225586234527,22.50727462574572,1026.7513196214086,"[""HD 168443 b"", ""HD 173416 b"", ""HD 178911 B b"", ""HD 180053 b"", ""HD 233604 b""]","Thermally extreme node, but interpretation is weakened by high imputation dependence.",High imputation dependence reduces confidence in fine-grained scientific interpretation.
thermal_pca2_cubes10_overlap0p35,cube33_cluster10,risky_node,14,1,21,1.0,0.0,warm_or_cool_giant_candidate,jovian_size,intermediate_period,hot,12.664927192857144,2301.327796597857,6.604976593936134,157.69984658347104,0.6231225586234527,22.50727462574572,1026.7513196214086,"[""HD 168443 b"", ""HD 173416 b"", ""HD 178911 B b"", ""HD 180053 b"", ""HD 233604 b""]","Thermally extreme node, but interpretation is weakened by high imputation dependence.",High imputation dependence reduces confidence in fine-grained scientific interpretation.
thermal_pca2_cubes10_overlap0p35,cube12_cluster1,risky_node,10,1,3,0.95,0.0,warm_or_cool_giant_candidate,jovian_size,long_period,cool,13.268956516902833,1390.938046471,3.6841294497061674,7073.194437000001,6.695800000000003,0.07055435499830691,53.356924744225125,"[""47 UMa d"", ""GJ 328 b"", ""HAT-P-17 c"", ""HD 140901 c"", ""HD 160691 c""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,High imputation dependence reduces confidence in fine-grained scientific interpretation.
thermal_pca2_cubes10_overlap0p35,cube18_cluster1,risky_node,10,1,3,0.95,0.0,warm_or_cool_giant_candidate,jovian_size,long_period,cool,13.268956516902833,1390.938046471,3.6841294497061674,7073.194437000001,6.695800000000003,0.07055435499830691,53.356924744225125,"[""47 UMa d"", ""GJ 328 b"", ""HAT-P-17 c"", ""HD 140901 c"", ""HD 160691 c""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,High imputation dependence reduces confidence in fine-grained scientific interpretation.
thermal_pca2_cubes10_overlap0p35,cube11_cluster1,extreme_mass;extreme_orbital_period;risky_node,10,0,1,0.95,0.0,warm_or_cool_giant_candidate,jovian_size,long_period,cool,11.577000000000002,3235.540339557,9.777360837932653,453516.842031484,117.65180000000005,0.005194480841298629,0.0,"[""2MASS J22362452+4751425 b"", ""AB Pic b"", ""BD-210397 c"", ""CHXR 73 b"", ""GJ 15 A c""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,High imputation dependence reduces confidence in fine-grained scientific interpretation.
thermal_pca2_cubes10_overlap0p35,cube12_cluster3,central_node;cycle_component_node;risky_node,9,3,5,0.8333333333333334,0.0,warm_or_cool_giant_candidate,jovian_size,long_period,cool,7.780559156590249,119.66900613513242,1.200445663365534,2967.2740576096367,3.067052141552845,0.09327395641459696,2.088638948097216,"[""GJ 1148 c"", ""GJ 163 d"", ""GJ 3138 d"", ""GJ 4274 c"", ""GJ 687 c""]",Node summarizes a heuristic physical region induced by the completed Mapper feature space.,High imputation dependence reduces confidence in fine-grained scientific interpretation.
