column,description,non_null,missing,missing_pct,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,skew
st_logg,Stellar Surface Gravity [log10(cm/s**2)],5951,322,5.133,4.385906543102,0.43783090533525326,0.541,2.435,3.81,4.294,4.458,4.58,4.83058,5.0969999999999995,8.07,-2.828995827558589
st_logglim,Stellar Surface Gravity Limit Flag,5951,322,5.133,-0.001008233910267182,0.03173935498526085,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.453665195190133
st_rad,Stellar Radius [Solar Radius],5955,318,5.069,1.492107244668346,3.911667703298845,0.0115,0.18977,0.413049,0.77,0.95,1.24,2.3416000000000023,12.213000000000001,88.475,13.352830108517363
st_radlim,Stellar Radius Limit Flag,5955,318,5.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sy_vmagerr2,V (Johnson) Magnitude Lower Unc,5961,312,4.974,-0.09878330816977017,0.19996932654430874,-11.92,-0.6019999999999999,-0.229,-0.126,-0.069,-0.03,-0.007,-0.003,-0.001,-36.32947648859801
sy_vmagerr1,V (Johnson) Magnitude Upper Unc,5966,307,4.894,0.09731768354006035,0.1346804482807391,0.001,0.003,0.007,0.03,0.069,0.126,0.229,0.5997500000000163,3.1,7.525339337189057
sy_vmag,V (Johnson) Magnitude,5974,299,4.766,12.543307542684968,3.0337162459192166,0.872,4.6955,6.880317000000001,10.697,13.194,14.9185,16.01935,17.02,44.61,-0.4578880128843287
st_teff,Stellar Effective Temperature [K],5979,294,4.687,5392.978658638568,1733.5349957741391,415.0,3099.78,3515.0,4895.985000000001,5543.0,5897.0,6340.0,7257.6600000000135,57000.0,15.14930883548751
st_tefflim,Stellar Effective Temperature Limit Flag,5979,294,4.687,0.00016725204883759825,0.012932596368772909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,77.32399368889324
sy_kmag,Ks (2MASS) Magnitude,5987,286,4.559,10.37437632069484,2.9647787176068388,-3.044,2.859,4.965,8.405999999999999,11.06,12.708,13.819,14.209420000000001,33.11,-0.6446081842946583
st_masserr2,Stellar Mass Lower Unc. [Solar mass],5989,284,4.527,-0.07901394940724661,0.18615387562943278,-10.02,-0.5,-0.25,-0.08,-0.049,-0.029,-0.012,-0.006088000000000011,0.0,-30.85311329662788
st_masserr1,Stellar Mass Upper Unc. [Solar mass],5990,283,4.511,0.08530526560934891,0.19142764788007866,0.0002,0.006089000000000001,0.011,0.029,0.048,0.089,0.29,0.5,10.02,28.39190330762328
